topic,anger,fear,disgust,sadness,joy,anticipation,surprise,trust
AI,3.23,4.23,1.1,2.28,2.06,3.53,2.38,4.5
Climate,3.39,5.11,1.68,2.32,2.27,3.68,3.16,4.54
Economy,4.39,4.91,1.53,2.81,2.57,4.33,3.19,5.13
Immigration,5.52,5.57,1.55,2.88,1.92,3.63,3.2,5.25
Iran,5.21,6.93,0.81,2.77,1.73,2.79,3.79,4.55
