outlet,anger,fear,disgust,sadness,joy,anticipation,surprise,trust
AP,2.08,3.11,0.82,1.65,1.53,2.69,1.36,4.7
BBC,1.88,3.25,0.64,1.83,2.26,3.65,1.44,4.03
CNN,2.25,3.05,0.92,1.59,1.45,2.6,1.83,4.21
Fox News,2.33,3.23,1.0,1.71,1.65,2.83,1.59,5.06
Newsmax,2.29,3.47,0.87,1.58,1.37,2.86,1.41,4.76
