outlet,compound,pos,neu,neg
BBC,0.19961305361305362,0.08963403263403263,0.8407505827505828,0.0696013986013986
Fox News,0.025202505219206677,0.09424008350730688,0.8148288100208768,0.09091022964509395
AP,0.007177272727272729,0.08715289256198347,0.8287706611570248,0.08405578512396694
Newsmax,-0.04646741573033708,0.08576629213483146,0.8230359550561798,0.0911932584269663
CNN,-0.08127344064386317,0.08354124748490946,0.8270845070422534,0.08939034205231389
